subgraph,freq,n_atoms,examples
c1:c:c:c:c:c:1,0.78106,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1
C-N-C-C-C-C,0.1504,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1;O=C(c1ncc[nH]1)N1CCC(c2n[nH]c(=O)o2)CC1
c:c:c(:c:c)-C(-N)=O,0.14896,8,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
C-C-C(=O)-N-C,0.1467,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1;O=C(NCCN1CCOCC1)C1(c2cccc(F)c2)CCOCC1;CN1CC(C(=O)NCCN2CCN(Cc3ccccc3)CC2)CC1=O
C-C-C-N(-C)-C,0.14352,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;CCc1nc(CN2CCCC(c3noc(C4CC4)n3)C2)cs1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1
C-N-C-c:c:c,0.14348,6,CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2;Cc1cscc1CNC(=O)N1CC(C)OC2(CCOC2C)C1;CC(C)NS(=O)(=O)Cc1ccccc1CNC(=O)C1=Cc2ccccc2OC1;CS(=O)(=O)CC(=O)N(Cc1ccncc1)C1CC1
c:c:c:c-N-C(-C)=O,0.14144,8,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c-C-N-C=O,0.14102,7,CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2;Cc1cscc1CNC(=O)N1CC(C)OC2(CCOC2C)C1;CC(C)NS(=O)(=O)Cc1ccccc1CNC(=O)C1=Cc2ccccc2OC1;CS(=O)(=O)CC(=O)N(Cc1ccncc1)C1CC1
c:c:c-C-N-C-C-C,0.14062,8,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1;CCCc1occc1C(=O)N1CCCC(O)(Cn2ccnn2)C1;COCCOCC1CCN(C(=O)c2ccc(Cl)c(S(=O)(=O)NC(C)(C)C)c2)C1
C-C-N-C-C-C,0.14056,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1;Cc1cc(OCC(=O)N2CCCN(c3ncnc4[nH]cnc34)CC2)ccc1C(C)C;COc1ccc(CC(=O)N(C)C2CCCCC2S(C)(=O)=O)cc1F
c:c:c-C(=O)-N-C-C,0.14044,8,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1
c:c(:c)-C(=O)-N-C,0.1399,7,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2
C-C-C-C-C-N,0.13854,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1;CCCc1occc1C(=O)N1CCCC(O)(Cn2ccnn2)C1
N-C(=O)-c1:c:c:c:c:c:1,0.1378,9,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
c:c(:c)-N-C(-C)=O,0.13658,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c:c-N-C,0.13506,6,CC(C)(C)c1cnc(CN2CCN(c3ccc(C#N)cn3)CC2)o1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COCCc1ccc(OS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1;CCN(C(=O)Cn1cnc2ccc(Br)cc2c1=O)c1ccccc1;COCCNC(=O)N(C)CCCNc1ccccc1
C-C-C-N(-C)-C=O,0.13504,7,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1;O=C(c1ncc[nH]1)N1CCC(c2n[nH]c(=O)o2)CC1
c:c:c-C-N(-C)-C-C,0.1349,8,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1
c:c:c-C-N(-C)-C,0.1338,7,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2
c:c:c(:c)-N-C(-C)=O,0.13166,8,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c:c:c-N-C(-C)=O,0.13142,9,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
C-N-C-c:c:c:c,0.13134,7,CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2;CC(C)NS(=O)(=O)Cc1ccccc1CNC(=O)C1=Cc2ccccc2OC1;CC(NC(=O)C1CC1(Cl)Cl)c1ccc(-c2ccccc2)cc1;Cc1cccc(C)c1OCC(=O)NC(c1ccccc1)c1nccn1C
c:c:c:c(:c)-F,0.13134,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;Cc1cn2ccnc(C(=O)NCCOc3cc(F)cc(F)c3)c2n1;O=C(NCCN1CCOCC1)C1(c2cccc(F)c2)CCOCC1
C-C(-C)-N-C=O,0.13116,6,Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1;Cc1nc2c(C#N)cnn2c(C)c1CCC(=O)NC(C)Cc1ccc(O)c(O)c1;Cc1ccc(C)c(C2CN(C(=O)CCn3cncn3)C(C)CO2)c1;COc1ccc(CC(=O)N(C)C2CCCCC2S(C)(=O)=O)cc1F;CNS(=O)(=O)c1cc(-c2nc(C3(NC(C)=O)CCCCC3)no2)c(C)o1
N-C-C-N-C=O,0.1308,6,COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;O=C(NCCN1CCOCC1)C1(c2cccc(F)c2)CCOCC1;CN1CC(C(=O)NCCN2CCN(Cc3ccccc3)CC2)CC1=O
c:c:c:c(:c)-N-C(-C)=O,0.1307,9,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c:c-C-N-C=O,0.12906,8,CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2;CC(C)NS(=O)(=O)Cc1ccccc1CNC(=O)C1=Cc2ccccc2OC1;CC(NC(=O)C1CC1(Cl)Cl)c1ccc(-c2ccccc2)cc1;Cc1cccc(C)c1OCC(=O)NC(c1ccccc1)c1nccn1C
c:c:c:c:c-F,0.12864,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;Cc1cn2ccnc(C(=O)NCCOc3cc(F)cc(F)c3)c2n1;O=C(NCCN1CCOCC1)C1(c2cccc(F)c2)CCOCC1
c:c:c(-F):c:c,0.1284,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;Cc1cn2ccnc(C(=O)NCCOc3cc(F)cc(F)c3)c2n1;O=C(NCCN1CCOCC1)C1(c2cccc(F)c2)CCOCC1
F-c1:c:c:c:c:c:1,0.1284,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;Cc1cn2ccnc(C(=O)NCCOc3cc(F)cc(F)c3)c2n1;O=C(NCCN1CCOCC1)C1(c2cccc(F)c2)CCOCC1
c:c:c(:c)-C(=O)-N-C,0.12826,8,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2
C-N(-C)-C-C-C,0.12766,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1;O=C(c1ncc[nH]1)N1CCC(c2n[nH]c(=O)o2)CC1
c:c:c:c:c-S,0.12744,6,O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;O=C(O)C1CCCC1S(=O)(=O)NCCSc1ccccc1;COCCc1ccc(OS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1;Fc1cccc2c1SCCC2=NNc1ccc2ccccc2n1;COCCOCC1CCN(C(=O)c2ccc(Cl)c(S(=O)(=O)NC(C)(C)C)c2)C1
c:c:c:c:c:n,0.1272,6,CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;Cn1c(CN2CCN(CCO)CC2)nc2cc(Cl)ccc21;CCN(C(=O)Cn1cnc2ccc(Br)cc2c1=O)c1ccccc1;Fc1cccc2c1SCCC2=NNc1ccc2ccccc2n1
c:c:c(:c:c)-N-C(-C)=O,0.1263,9,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
C-C(=O)-N(-C)-C,0.12598,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1;CN1CC(C(=O)NCCN2CCN(Cc3ccccc3)CC2)CC1=O;Cc1ccc(C)c(C2CN(C(=O)CCn3cncn3)C(C)CO2)c1
C-C-N(-C-C)-C-C,0.12548,7,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;Cn1c(CN2CCN(CCO)CC2)nc2cc(Cl)ccc21
c:c:c:c(:c)-S,0.12542,6,O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;O=C(O)C1CCCC1S(=O)(=O)NCCSc1ccccc1;COCCc1ccc(OS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1;Fc1cccc2c1SCCC2=NNc1ccc2ccccc2n1;COCCOCC1CCN(C(=O)c2ccc(Cl)c(S(=O)(=O)NC(C)(C)C)c2)C1
c:c:c:c:c-N-C,0.12512,7,CC(C)(C)c1cnc(CN2CCN(c3ccc(C#N)cn3)CC2)o1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COCCc1ccc(OS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1;CCN(C(=O)Cn1cnc2ccc(Br)cc2c1=O)c1ccccc1;COCCNC(=O)N(C)CCCNc1ccccc1
C-N-C-C(-C)-C,0.1232,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1;O=C(NCCN1CCOCC1)C1(c2cccc(F)c2)CCOCC1;CN1CC(C(=O)NCCN2CCN(Cc3ccccc3)CC2)CC1=O;Cc1cscc1CNC(=O)N1CC(C)OC2(CCOC2C)C1
C-N-C-c(:c):c,0.1231,6,CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2;Cc1cscc1CNC(=O)N1CC(C)OC2(CCOC2C)C1;CC(C)NS(=O)(=O)Cc1ccccc1CNC(=O)C1=Cc2ccccc2OC1;CS(=O)(=O)CC(=O)N(Cc1ccncc1)C1CC1
c:c:c:c:n:c,0.1229,6,CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;Cn1c(CN2CCN(CCO)CC2)nc2cc(Cl)ccc21;CCN(C(=O)Cn1cnc2ccc(Br)cc2c1=O)c1ccccc1;Fc1cccc2c1SCCC2=NNc1ccc2ccccc2n1
c:c:c(-S):c:c,0.12162,6,O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;O=C(O)C1CCCC1S(=O)(=O)NCCSc1ccccc1;COCCc1ccc(OS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1;Fc1cccc2c1SCCC2=NNc1ccc2ccccc2n1;COCCOCC1CCN(C(=O)c2ccc(Cl)c(S(=O)(=O)NC(C)(C)C)c2)C1
c:c:c:c(:c)-Cl,0.1216,6,Cc1ncc(Cl)c(N)c1Cl;CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;Cn1c(CN2CCN(CCO)CC2)nc2cc(Cl)ccc21;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2;COC1(c2nc(C(C)Oc3ccc(Br)cc3Cl)no2)CCC1
S-c1:c:c:c:c:c:1,0.1214,7,O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;O=C(O)C1CCCC1S(=O)(=O)NCCSc1ccccc1;COCCc1ccc(OS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1;Fc1cccc2c1SCCC2=NNc1ccc2ccccc2n1;COCCOCC1CCN(C(=O)c2ccc(Cl)c(S(=O)(=O)NC(C)(C)C)c2)C1
c:c(:c)-C-N-C=O,0.12112,7,CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2;Cc1cscc1CNC(=O)N1CC(C)OC2(CCOC2C)C1;CC(C)NS(=O)(=O)Cc1ccccc1CNC(=O)C1=Cc2ccccc2OC1;CS(=O)(=O)CC(=O)N(Cc1ccncc1)C1CC1
c:c:c-C-C-N,0.12088,6,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1;O=C(NCCN1CCOCC1)C1(c2cccc(F)c2)CCOCC1;Cc1nc2c(C#N)cnn2c(C)c1CCC(=O)NC(C)Cc1ccc(O)c(O)c1
c:c-N-C-C-C,0.1206,6,Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;N#Cc1cncnc1NCC(CC(=O)O)C1CC1;COCCc1ccc(OS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1;COCCNC(=O)N(C)CCCNc1ccccc1;Cc1cc(OCC(=O)N2CCCN(c3ncnc4[nH]cnc34)CC2)ccc1C(C)C
c-C-N(-C-C)-C-C,0.12032,7,COCC1(C(=O)O)CCCN1Cc1nnnn1CC(F)(F)F;CCc1nc(CN2CCCC(c3noc(C4CC4)n3)C2)cs1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;CC(C)(C)c1cnc(CN2CCN(c3ccc(C#N)cn3)CC2)o1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
c:c:c:c-C-N-C-C-C,0.11972,9,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;COCCOCC1CCN(C(=O)c2ccc(Cl)c(S(=O)(=O)NC(C)(C)C)c2)C1;O=C(NCC(O)CN1CCc2ccccc2C1)c1ccc(Nc2ncccn2)cc1;CCn1cc(OC2COCC2NCc2ccc3cn[nH]c3c2)cn1
C-C-C-C(-N)=O,0.1179,6,Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1;O=C(NCCN1CCOCC1)C1(c2cccc(F)c2)CCOCC1;CN1CC(C(=O)NCCN2CCN(Cc3ccccc3)CC2)CC1=O;CCCc1ncc(CNC(=O)C2CC(O)(C3CCCCC3)C2)o1
c:c:c:c-C(=O)-N-C-C,0.1176,9,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;COCCOCC1CCN(C(=O)c2ccc(Cl)c(S(=O)(=O)NC(C)(C)C)c2)C1
c:c:c-S(=O)=O,0.1174,6,O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;COCCc1ccc(OS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1;COCCOCC1CCN(C(=O)c2ccc(Cl)c(S(=O)(=O)NC(C)(C)C)c2)C1;COCCCN(Cc1cc(-c2ccco2)on1)S(=O)(=O)c1ccc(OC)cc1;O=S(=O)(Nc1cccc2cccnc12)c1cncc(F)c1
c:c:c:c:c-Cl,0.11668,6,CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;Cn1c(CN2CCN(CCO)CC2)nc2cc(Cl)ccc21;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2;COC1(c2nc(C(C)Oc3ccc(Br)cc3Cl)no2)CCC1;Cn1c(SCc2ccc(F)cc2Cl)nnc1-c1ccc(C(C)(C)C)cc1
c:c:c:c:c-C(=O)-N-C,0.11648,9,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2
C1-C-C-N-C-C-1,0.11602,6,CCc1nc(CN2CCCC(c3noc(C4CC4)n3)C2)cs1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1;O=C(c1ncc[nH]1)N1CCC(c2n[nH]c(=O)o2)CC1
C-N-C-c(:c):c:c,0.11556,7,CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2;Cc1cscc1CNC(=O)N1CC(C)OC2(CCOC2C)C1;CC(C)NS(=O)(=O)Cc1ccccc1CNC(=O)C1=Cc2ccccc2OC1;CS(=O)(=O)CC(=O)N(Cc1ccncc1)C1CC1
c:c(:c)-C-N-C-C-C,0.11536,8,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;CCCc1occc1C(=O)N1CCCC(O)(Cn2ccnn2)C1;COCCOCC1CCN(C(=O)c2ccc(Cl)c(S(=O)(=O)NC(C)(C)C)c2)C1;O=C(NCC(O)CN1CCc2ccccc2C1)c1ccc(Nc2ncccn2)cc1
c:c:c-C-C-C,0.11524,6,COc1ccc(C2(c3nnc(-c4cnccn4)o3)CCOCC2)cc1;O=C(NCCN1CCOCC1)C1(c2cccc(F)c2)CCOCC1;Cc1nc2c(C#N)cnn2c(C)c1CCC(=O)NC(C)Cc1ccc(O)c(O)c1;Fc1cccc2c1SCCC2=NNc1ccc2ccccc2n1;Cc1cnc(CN2CC=C(c3c[nH]c4ncccc34)CC2)o1
c:c:c:c-C-N(-C)-C-C,0.11516,9,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;CN1CC(C(=O)NCCN2CCN(Cc3ccccc3)CC2)CC1=O
