subgraph,freq,n_atoms,examples
c1:c:c:c:c:c:1,0.78106,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1
c:c:c:c(:c)-O,0.25458,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1
c:c:c-C(-N)=O,0.25348,6,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
C-N-c1:c:c:c:c:c:1,0.25246,8,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c(-O):c:c,0.2522,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1
O-c1:c:c:c:c:c:1,0.25026,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1
C-C-N(-C)-C=O,0.24804,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1
c:c:c:c-C-N-C,0.248,7,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
C-c(:c:c):c:c,0.24672,6,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
c:c:c:c-C-C,0.24516,6,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(C2(c3nnc(-c4cnccn4)o3)CCOCC2)cc1;COCCc1ccc(OS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1
c:c:c-N-C=O,0.24464,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c-N-C-C,0.23772,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CC(C)(C)c1cnc(CN2CCN(c3ccc(C#N)cn3)CC2)o1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2
c:c(:c)-C-N-C,0.23756,6,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
c:c:c:c-O-C,0.23606,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c:c:c-O-C,0.23294,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c:c-C-N-C-C,0.23054,8,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
C-N-C-c1:c:c:c:c:c:1,0.22994,9,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
C-N-c:c:c:c,0.22944,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
C-C-N(-C)-C-C,0.22868,6,COCC1(C(=O)O)CCCN1Cc1nnnn1CC(F)(F)F;CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;CCc1nc(CN2CCCC(c3noc(C4CC4)n3)C2)cs1;COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1
c:c:c:c:c-C=O,0.22866,7,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
c:c:c(:c)-C-C,0.22752,6,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(C2(c3nnc(-c4cnccn4)o3)CCOCC2)cc1;COCCc1ccc(OS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1
c:c:c(:c)-O-C,0.2275,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c:c-N-C=O,0.2261,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c(:c)-N-C=O,0.22584,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c:c(:c)-O-C,0.2256,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
C-O-c1:c:c:c:c:c:1,0.22528,8,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c(:c:c)-O-C,0.22446,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c:c(:c)-C=O,0.2237,7,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
C-C-c1:c:c:c:c:c:1,0.22334,8,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
C-N-c(:c):c:c,0.219,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c(:c)-C-N-C,0.21738,7,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
C-N-c(:c):c:c:c,0.21612,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
